year,index,date,N1,N2,N3,N4,N5,N6,S1,color,zodiac,EvO,BS
2007,48,2007-04-21,19,41,42,49,27,44,20,blue,dragon,even,small
2007,49,2007-04-24,7,19,4,14,6,37,9,blue,rabbit,odd,small
2007,50,2007-04-26,35,17,24,22,40,37,11,green,ox,odd,small
2007,51,2007-04-30,44,38,27,11,10,18,37,blue,pig,odd,big
2007,52,2007-05-03,32,3,17,47,44,46,33,green,rabbit,odd,big
2007,53,2007-05-05,20,11,45,7,49,9,42,blue,horse,even,big
2007,54,2007-05-08,11,46,30,23,20,48,22,green,tiger,even,small
2007,55,2007-05-10,4,6,41,14,46,12,15,blue,rooster,odd,small
2007,56,2007-05-13,36,38,25,16,14,28,40,red,monkey,even,big
2007,57,2007-05-15,36,43,33,42,12,30,15,blue,rooster,odd,small
2007,58,2007-05-17,5,27,4,37,14,39,35,red,ox,odd,big
2007,59,2007-05-19,46,21,36,31,24,38,43,green,snake,odd,big
2007,60,2007-05-22,38,20,40,23,28,21,13,red,pig,odd,small
2007,61,2007-05-26,29,23,36,26,24,41,12,red,rat,even,small
2007,62,2007-05-29,25,8,2,46,12,29,7,red,snake,odd,small
2007,63,2007-05-31,1,25,38,7,20,4,17,green,goat,odd,small
2007,64,2007-06-02,26,16,42,46,20,27,32,green,dragon,even,big
2007,65,2007-06-05,11,22,37,5,9,21,32,green,dragon,even,big
2007,66,2007-06-07,1,4,47,44,15,34,7,red,snake,odd,small
2007,67,2007-06-10,48,6,9,1,37,36,13,red,pig,odd,small
2007,68,2007-06-12,45,31,30,7,47,41,4,blue,monkey,even,small
2007,69,2007-06-14,19,41,21,29,33,3,46,red,tiger,even,big
2007,70,2007-06-16,28,3,15,37,18,19,30,red,horse,even,big
2007,71,2007-06-19,8,11,12,20,32,4,47,blue,ox,odd,big
2007,72,2007-06-21,26,43,45,5,11,1,22,green,tiger,even,small
2007,73,2007-06-23,10,27,28,31,38,24,23,red,ox,odd,small
2007,74,2007-06-26,2,47,17,35,24,32,34,red,tiger,even,big
2007,75,2007-06-28,46,41,38,4,40,15,33,green,rabbit,odd,big
2007,76,2007-06-30,18,44,4,37,1,10,20,blue,dragon,even,small
2007,77,2007-07-03,48,22,45,16,35,36,32,green,dragon,even,big
2007,78,2007-07-05,38,25,26,14,23,35,21,green,rabbit,odd,small
2007,79,2007-07-07,8,10,35,45,4,15,16,green,monkey,even,small
2007,80,2007-07-10,17,43,12,31,13,24,49,green,pig,odd,big
2007,81,2007-07-12,6,16,18,22,17,49,33,green,rabbit,odd,big
2007,82,2007-07-14,45,24,30,49,19,10,34,red,tiger,even,big
2007,83,2007-07-17,10,12,42,5,13,16,41,blue,goat,odd,big
2007,84,2007-07-19,1,45,42,27,26,36,12,red,rat,even,small
2007,85,2007-07-21,43,45,9,18,5,40,17,green,goat,odd,small
2007,86,2007-07-24,41,49,30,16,26,36,13,red,pig,odd,small
2007,87,2007-07-26,22,46,28,32,13,37,17,green,goat,odd,small
2007,88,2007-07-28,30,31,29,38,18,21,34,red,tiger,even,big
2007,89,2007-07-31,48,21,3,47,43,4,7,red,snake,odd,small
2007,90,2007-08-02,29,40,8,22,35,41,6,green,horse,even,small
2007,91,2007-08-07,48,45,14,26,1,32,46,red,tiger,even,big
2007,92,2007-08-09,44,4,3,17,12,5,37,blue,pig,odd,big
2007,93,2007-08-11,35,38,43,44,6,9,41,blue,goat,odd,big
2007,94,2007-08-14,9,27,12,40,29,7,5,green,goat,odd,small
2007,95,2007-08-16,18,16,30,14,35,26,10,blue,tiger,even,small
2007,96,2007-08-18,18,22,35,14,40,31,46,red,tiger,even,big
2007,97,2007-08-21,48,22,13,10,36,33,31,blue,snake,odd,big
2007,98,2007-08-24,28,43,20,10,37,19,6,green,horse,even,small
2007,99,2007-08-26,42,6,44,23,20,45,13,red,pig,odd,small
2007,100,2007-08-28,4,43,37,20,27,9,7,red,snake,odd,small
2007,101,2007-08-30,34,39,23,13,3,4,37,blue,pig,odd,big
2007,102,2007-09-01,2,44,16,39,38,6,15,blue,rooster,odd,small
2007,103,2007-09-04,38,49,45,6,28,44,34,red,tiger,even,big
2007,104,2007-09-06,4,12,18,35,40,44,38,green,dog,even,big
2007,105,2007-09-08,3,31,34,35,14,1,16,green,monkey,even,small
2007,106,2007-09-11,36,44,14,26,23,35,5,green,goat,odd,small
2007,107,2007-09-13,38,32,8,25,14,15,11,green,ox,odd,small
2007,108,2007-09-16,8,24,17,27,7,6,38,green,dog,even,big
2007,109,2007-09-18,41,10,37,43,12,24,17,green,goat,odd,small
2007,110,2007-09-20,41,40,11,13,6,28,49,green,pig,odd,big
2007,111,2007-09-22,24,6,48,44,49,5,45,red,rabbit,odd,big
2007,112,2007-09-25,8,25,24,34,2,16,40,red,monkey,even,big
2007,113,2007-09-27,45,9,6,34,23,17,2,red,dog,even,small
2007,114,2007-09-29,42,41,47,35,44,49,48,blue,rat,even,big
2007,115,2007-10-02,30,37,21,43,34,10,17,green,goat,odd,small
2007,116,2007-10-04,29,28,38,37,14,6,12,red,rat,even,small
2007,117,2007-10-06,38,7,20,25,45,33,26,blue,dog,even,big
2007,118,2007-10-09,16,49,32,10,9,23,19,red,snake,odd,small
2007,119,2007-10-11,42,12,23,26,19,33,27,green,rooster,odd,big
2007,120,2007-10-13,27,25,24,23,45,43,11,green,ox,odd,small
2007,121,2007-10-16,10,6,11,14,31,40,49,green,pig,odd,big
2007,122,2007-10-18,39,37,47,1,48,2,34,red,tiger,even,big
2007,123,2007-10-20,19,14,42,18,4,30,34,red,tiger,even,big
2007,124,2007-10-23,31,37,21,29,13,6,25,blue,pig,odd,big
2007,125,2007-10-25,35,42,4,49,14,31,1,red,pig,odd,small
2007,126,2007-10-27,35,27,30,46,43,2,36,blue,rat,even,big
2007,127,2007-10-30,31,19,41,47,42,12,13,red,pig,odd,small
